,open,high,low,close,volume,ma_5,ma_20,daily_return,rsi,macd,macd_signal,target,next_day_close
2005-03-14,91.5,92.04,91.5,91.9,3935500.0,92.06,92.744,0.0056905230903918635,74.81897934105886,2.6317056606103932,2.9713194213611613,0,91.38
2000-02-18,115.25,115.94,111.5,112.5,7673400.0,115.63600000000001,115.69449999999999,0.013513513513513598,54.993357436146646,-0.8781129500353728,-1.9608569578304795,0,111.0
2017-11-09,149.93,151.8,149.86,150.3,4770841.0,151.128,153.53074999999998,0.007642799678198031,43.36047625624843,-1.7857399090149215,-1.7389911412638388,0,149.16
2013-02-06,200.39,201.29,199.56,201.02,3624200.0,203.17,199.1935,0.006408330830079079,44.76143703781494,-1.9580173252663826,-2.236298826708939,0,199.74
2024-12-17,229.23,230.2,227.62,228.97,3651346.0,230.3,227.77000000000004,0.03996911477494658,52.85058043343788,-3.0476177909831392,-4.602952042157433,0,220.17
2001-01-25,110.12,111.12,109.44,110.75,4982100.0,110.01199999999999,96.8215,-0.03012522988002453,50.214899350437015,2.2826760055115187,2.882943452026614,1,114.19
2004-06-17,90.5,90.56,90.07,90.44,4180200.0,90.378,88.72999999999999,0.00421940928270037,66.95092526101334,1.3547764244439833,1.060117399235282,0,90.06
2022-06-29,142.74,143.5213,139.5,140.71,4161491.0,141.174,139.03900000000002,-0.0033996741978893352,62.042605852732244,2.436691257992152,2.0799306973634115,1,141.19
2005-10-18,84.33,84.6,83.35,83.48,12045300.0,82.562,80.354,-0.008197695140786498,47.572374901693834,-0.5089258338947218,-0.7292803399062217,1,84.17
2004-07-28,85.88,86.28,84.88,85.85,6566200.0,85.546,85.43,-0.010602742883485061,53.135768584319536,0.29169156932563567,-0.03943360898766976,1,86.77
2021-10-29,125.43,126.32,124.91,125.1,5916789.0,126.176,136.98,-0.009344314222363037,57.467997122449205,0.8335044945170296,-0.2813288454690558,1,126.28
2020-06-12,121.25,123.12,119.28,121.91,6218003.0,127.482,124.6375,0.0021372790793259266,50.69079947253905,0.13681840003910395,-0.4315632452208195,0,121.65
2015-10-15,150.91,151.24,148.58,150.09,3476219.0,150.65,147.024,-0.0019948134849390176,68.29162793350892,2.8442728009801783,1.8775611958463676,1,150.39
2017-05-08,152.8,153.47,152.2,153.03,7415765.0,156.972,162.65,0.006048254552626364,53.8790070872562,-0.21099319508559233,-0.24071769458891595,0,152.11
2008-01-14,105.0,105.59,101.33,102.93,18009400.0,99.284,105.0915,0.0108023175881371,42.77459531799735,-2.0490456909178647,-2.0349533882760333,0,101.83
2004-03-26,92.39,93.25,92.16,92.77,4397700.0,91.854,93.58149999999999,0.0009710832973670591,56.265438337308105,0.8249379756032624,1.0647272738616527,0,92.68
2013-03-26,211.77,212.504,211.5,212.36,2300300.0,212.5,209.92649999999998,0.0069704585328844715,58.32337727147906,2.787177671772241,2.575851414375472,0,210.89
2004-07-30,86.45,87.4,86.3875,87.07,3508500.0,86.13199999999999,85.3395,0.004383435228976662,60.86688684953708,0.18555461939554618,-0.22478280195229872,0,86.69
2018-07-02,138.28,140.22,138.2,139.86,3405642.0,139.232,142.9395,0.002077810417711712,35.399595867448625,-1.179985263075082,-0.49938722412928355,0,139.57
2017-10-24,159.65,159.7,155.171,155.88,8173017.0,159.58599999999998,149.923,0.015537965406039245,63.519319113895655,0.4373323527841535,-0.16961739023607036,0,153.495
2012-10-09,209.95,210.74,207.7,207.99,3580400.0,209.85999999999999,207.34949999999998,0.010543193081333335,67.5119879132869,4.226940311556092,2.935153055752745,0,205.82
2006-08-25,79.2,80.0,79.14,79.88,3427400.0,79.232,77.3925,-0.005478087649402386,35.58079749853043,-1.0885919140608564,-1.240773690597373,1,80.32
2015-08-06,157.13,157.54,156.18,156.32,3004487.0,158.50400000000002,163.4395,0.0077359463641051285,61.23202706356409,2.776692900657764,2.3706678988123815,0,155.12
2019-09-26,143.17,143.88,141.41,143.55,2313892.0,142.46800000000002,141.156,0.002164199944149736,59.84054040395357,2.0544123888418824,1.7881726080623994,0,143.24
2006-09-07,79.9,80.38,79.31,79.4,3913300.0,80.582,79.2675,-0.015621125712868666,27.148390724379354,-1.512562679572639,-1.596041920274734,1,80.66
2005-10-28,82.32,82.43,80.5,81.42,6941300.0,82.69,82.0975,-0.00561797752808979,31.948883473072954,-1.213164136491315,-0.755362712348485,1,81.88
2009-12-21,127.8,128.94,127.68,128.65,4772500.0,128.23200000000003,127.8875,-0.009851458477641795,46.68726994361458,0.7112305705759638,1.1033042146373369,1,129.93
2002-05-10,79.95,80.5,79.25,79.68,7386300.0,78.912,83.982,-0.030538995011558434,47.63406778929647,2.109622297893665,2.6700560902122747,1,82.19
2017-06-19,155.51,155.86,154.54,154.84,4381436.0,154.5,153.0795,-0.0007099064214262096,62.06359125649814,1.791826421359616,2.081959056469943,1,154.95
2018-11-20,118.49,119.49,116.7,117.2,6233777.0,120.144,120.941,-0.011554356076579175,43.8427049613038,-0.37564533093316754,-0.13934996560467672,1,118.57
2008-05-15,127.06,128.68,126.9,128.46,7227900.0,126.372,124.0545,0.005007041151619651,57.296845836232436,0.5945430643517966,0.6310547624785051,0,127.82
2013-02-22,199.23,201.09,198.84,201.09,3107900.0,200.006,201.728,0.018125664523315432,39.0208759042436,-2.598005485603636,-1.2421612475041486,0,197.51
2022-08-16,134.6,137.37,134.4517,136.56,4313600.0,133.908,131.113,-0.008926627476594784,63.59800652402932,2.847928461066857,2.115174018328867,1,137.79
